GF(64) with Primitive Polynomial: 67 
A^0 --> order: 0	poly: 1
1 0 0 0 0 0 
0 1 0 0 0 0 
0 0 1 0 0 0 
0 0 0 1 0 0 
0 0 0 0 1 0 
0 0 0 0 0 1 
A^1 --> order: 1	poly: 2
0 1 0 0 0 0 
0 0 1 0 0 0 
0 0 0 1 0 0 
0 0 0 0 1 0 
0 0 0 0 0 1 
1 1 0 0 0 0 
A^2 --> order: 2	poly: 4
0 0 1 0 0 0 
0 0 0 1 0 0 
0 0 0 0 1 0 
0 0 0 0 0 1 
1 1 0 0 0 0 
0 1 1 0 0 0 
A^3 --> order: 3	poly: 8
0 0 0 1 0 0 
0 0 0 0 1 0 
0 0 0 0 0 1 
1 1 0 0 0 0 
0 1 1 0 0 0 
0 0 1 1 0 0 
A^4 --> order: 4	poly: 16
0 0 0 0 1 0 
0 0 0 0 0 1 
1 1 0 0 0 0 
0 1 1 0 0 0 
0 0 1 1 0 0 
0 0 0 1 1 0 
A^5 --> order: 5	poly: 32
0 0 0 0 0 1 
1 1 0 0 0 0 
0 1 1 0 0 0 
0 0 1 1 0 0 
0 0 0 1 1 0 
0 0 0 0 1 1 
A^6 --> order: 6	poly: 3
1 1 0 0 0 0 
0 1 1 0 0 0 
0 0 1 1 0 0 
0 0 0 1 1 0 
0 0 0 0 1 1 
1 1 0 0 0 1 
A^7 --> order: 7	poly: 6
0 1 1 0 0 0 
0 0 1 1 0 0 
0 0 0 1 1 0 
0 0 0 0 1 1 
1 1 0 0 0 1 
1 0 1 0 0 0 
A^8 --> order: 8	poly: 12
0 0 1 1 0 0 
0 0 0 1 1 0 
0 0 0 0 1 1 
1 1 0 0 0 1 
1 0 1 0 0 0 
0 1 0 1 0 0 
A^9 --> order: 9	poly: 24
0 0 0 1 1 0 
0 0 0 0 1 1 
1 1 0 0 0 1 
1 0 1 0 0 0 
0 1 0 1 0 0 
0 0 1 0 1 0 
A^10 --> order: 10	poly: 48
0 0 0 0 1 1 
1 1 0 0 0 1 
1 0 1 0 0 0 
0 1 0 1 0 0 
0 0 1 0 1 0 
0 0 0 1 0 1 
A^11 --> order: 11	poly: 35
1 1 0 0 0 1 
1 0 1 0 0 0 
0 1 0 1 0 0 
0 0 1 0 1 0 
0 0 0 1 0 1 
1 1 0 0 1 0 
A^12 --> order: 12	poly: 5
1 0 1 0 0 0 
0 1 0 1 0 0 
0 0 1 0 1 0 
0 0 0 1 0 1 
1 1 0 0 1 0 
0 1 1 0 0 1 
A^13 --> order: 13	poly: 10
0 1 0 1 0 0 
0 0 1 0 1 0 
0 0 0 1 0 1 
1 1 0 0 1 0 
0 1 1 0 0 1 
1 1 1 1 0 0 
A^14 --> order: 14	poly: 20
0 0 1 0 1 0 
0 0 0 1 0 1 
1 1 0 0 1 0 
0 1 1 0 0 1 
1 1 1 1 0 0 
0 1 1 1 1 0 
A^15 --> order: 15	poly: 40
0 0 0 1 0 1 
1 1 0 0 1 0 
0 1 1 0 0 1 
1 1 1 1 0 0 
0 1 1 1 1 0 
0 0 1 1 1 1 
A^16 --> order: 16	poly: 19
1 1 0 0 1 0 
0 1 1 0 0 1 
1 1 1 1 0 0 
0 1 1 1 1 0 
0 0 1 1 1 1 
1 1 0 1 1 1 
A^17 --> order: 17	poly: 38
0 1 1 0 0 1 
1 1 1 1 0 0 
0 1 1 1 1 0 
0 0 1 1 1 1 
1 1 0 1 1 1 
1 0 1 0 1 1 
A^18 --> order: 18	poly: 15
1 1 1 1 0 0 
0 1 1 1 1 0 
0 0 1 1 1 1 
1 1 0 1 1 1 
1 0 1 0 1 1 
1 0 0 1 0 1 
A^19 --> order: 19	poly: 30
0 1 1 1 1 0 
0 0 1 1 1 1 
1 1 0 1 1 1 
1 0 1 0 1 1 
1 0 0 1 0 1 
1 0 0 0 1 0 
A^20 --> order: 20	poly: 60
0 0 1 1 1 1 
1 1 0 1 1 1 
1 0 1 0 1 1 
1 0 0 1 0 1 
1 0 0 0 1 0 
0 1 0 0 0 1 
A^21 --> order: 21	poly: 59
1 1 0 1 1 1 
1 0 1 0 1 1 
1 0 0 1 0 1 
1 0 0 0 1 0 
0 1 0 0 0 1 
1 1 1 0 0 0 
A^22 --> order: 22	poly: 53
1 0 1 0 1 1 
1 0 0 1 0 1 
1 0 0 0 1 0 
0 1 0 0 0 1 
1 1 1 0 0 0 
0 1 1 1 0 0 
A^23 --> order: 23	poly: 41
1 0 0 1 0 1 
1 0 0 0 1 0 
0 1 0 0 0 1 
1 1 1 0 0 0 
0 1 1 1 0 0 
0 0 1 1 1 0 
A^24 --> order: 24	poly: 17
1 0 0 0 1 0 
0 1 0 0 0 1 
1 1 1 0 0 0 
0 1 1 1 0 0 
0 0 1 1 1 0 
0 0 0 1 1 1 
A^25 --> order: 25	poly: 34
0 1 0 0 0 1 
1 1 1 0 0 0 
0 1 1 1 0 0 
0 0 1 1 1 0 
0 0 0 1 1 1 
1 1 0 0 1 1 
A^26 --> order: 26	poly: 7
1 1 1 0 0 0 
0 1 1 1 0 0 
0 0 1 1 1 0 
0 0 0 1 1 1 
1 1 0 0 1 1 
1 0 1 0 0 1 
A^27 --> order: 27	poly: 14
0 1 1 1 0 0 
0 0 1 1 1 0 
0 0 0 1 1 1 
1 1 0 0 1 1 
1 0 1 0 0 1 
1 0 0 1 0 0 
A^28 --> order: 28	poly: 28
0 0 1 1 1 0 
0 0 0 1 1 1 
1 1 0 0 1 1 
1 0 1 0 0 1 
1 0 0 1 0 0 
0 1 0 0 1 0 
A^29 --> order: 29	poly: 56
0 0 0 1 1 1 
1 1 0 0 1 1 
1 0 1 0 0 1 
1 0 0 1 0 0 
0 1 0 0 1 0 
0 0 1 0 0 1 
A^30 --> order: 30	poly: 51
1 1 0 0 1 1 
1 0 1 0 0 1 
1 0 0 1 0 0 
0 1 0 0 1 0 
0 0 1 0 0 1 
1 1 0 1 0 0 
A^31 --> order: 31	poly: 37
1 0 1 0 0 1 
1 0 0 1 0 0 
0 1 0 0 1 0 
0 0 1 0 0 1 
1 1 0 1 0 0 
0 1 1 0 1 0 
A^32 --> order: 32	poly: 9
1 0 0 1 0 0 
0 1 0 0 1 0 
0 0 1 0 0 1 
1 1 0 1 0 0 
0 1 1 0 1 0 
0 0 1 1 0 1 
A^33 --> order: 33	poly: 18
0 1 0 0 1 0 
0 0 1 0 0 1 
1 1 0 1 0 0 
0 1 1 0 1 0 
0 0 1 1 0 1 
1 1 0 1 1 0 
A^34 --> order: 34	poly: 36
0 0 1 0 0 1 
1 1 0 1 0 0 
0 1 1 0 1 0 
0 0 1 1 0 1 
1 1 0 1 1 0 
0 1 1 0 1 1 
A^35 --> order: 35	poly: 11
1 1 0 1 0 0 
0 1 1 0 1 0 
0 0 1 1 0 1 
1 1 0 1 1 0 
0 1 1 0 1 1 
1 1 1 1 0 1 
A^36 --> order: 36	poly: 22
0 1 1 0 1 0 
0 0 1 1 0 1 
1 1 0 1 1 0 
0 1 1 0 1 1 
1 1 1 1 0 1 
1 0 1 1 1 0 
A^37 --> order: 37	poly: 44
0 0 1 1 0 1 
1 1 0 1 1 0 
0 1 1 0 1 1 
1 1 1 1 0 1 
1 0 1 1 1 0 
0 1 0 1 1 1 
A^38 --> order: 38	poly: 27
1 1 0 1 1 0 
0 1 1 0 1 1 
1 1 1 1 0 1 
1 0 1 1 1 0 
0 1 0 1 1 1 
1 1 1 0 1 1 
A^39 --> order: 39	poly: 54
0 1 1 0 1 1 
1 1 1 1 0 1 
1 0 1 1 1 0 
0 1 0 1 1 1 
1 1 1 0 1 1 
1 0 1 1 0 1 
A^40 --> order: 40	poly: 47
1 1 1 1 0 1 
1 0 1 1 1 0 
0 1 0 1 1 1 
1 1 1 0 1 1 
1 0 1 1 0 1 
1 0 0 1 1 0 
A^41 --> order: 41	poly: 29
1 0 1 1 1 0 
0 1 0 1 1 1 
1 1 1 0 1 1 
1 0 1 1 0 1 
1 0 0 1 1 0 
0 1 0 0 1 1 
A^42 --> order: 42	poly: 58
0 1 0 1 1 1 
1 1 1 0 1 1 
1 0 1 1 0 1 
1 0 0 1 1 0 
0 1 0 0 1 1 
1 1 1 0 0 1 
A^43 --> order: 43	poly: 55
1 1 1 0 1 1 
1 0 1 1 0 1 
1 0 0 1 1 0 
0 1 0 0 1 1 
1 1 1 0 0 1 
1 0 1 1 0 0 
A^44 --> order: 44	poly: 45
1 0 1 1 0 1 
1 0 0 1 1 0 
0 1 0 0 1 1 
1 1 1 0 0 1 
1 0 1 1 0 0 
0 1 0 1 1 0 
A^45 --> order: 45	poly: 25
1 0 0 1 1 0 
0 1 0 0 1 1 
1 1 1 0 0 1 
1 0 1 1 0 0 
0 1 0 1 1 0 
0 0 1 0 1 1 
A^46 --> order: 46	poly: 50
0 1 0 0 1 1 
1 1 1 0 0 1 
1 0 1 1 0 0 
0 1 0 1 1 0 
0 0 1 0 1 1 
1 1 0 1 0 1 
A^47 --> order: 47	poly: 39
1 1 1 0 0 1 
1 0 1 1 0 0 
0 1 0 1 1 0 
0 0 1 0 1 1 
1 1 0 1 0 1 
1 0 1 0 1 0 
A^48 --> order: 48	poly: 13
1 0 1 1 0 0 
0 1 0 1 1 0 
0 0 1 0 1 1 
1 1 0 1 0 1 
1 0 1 0 1 0 
0 1 0 1 0 1 
A^49 --> order: 49	poly: 26
0 1 0 1 1 0 
0 0 1 0 1 1 
1 1 0 1 0 1 
1 0 1 0 1 0 
0 1 0 1 0 1 
1 1 1 0 1 0 
A^50 --> order: 50	poly: 52
0 0 1 0 1 1 
1 1 0 1 0 1 
1 0 1 0 1 0 
0 1 0 1 0 1 
1 1 1 0 1 0 
0 1 1 1 0 1 
A^51 --> order: 51	poly: 43
1 1 0 1 0 1 
1 0 1 0 1 0 
0 1 0 1 0 1 
1 1 1 0 1 0 
0 1 1 1 0 1 
1 1 1 1 1 0 
A^52 --> order: 52	poly: 21
1 0 1 0 1 0 
0 1 0 1 0 1 
1 1 1 0 1 0 
0 1 1 1 0 1 
1 1 1 1 1 0 
0 1 1 1 1 1 
A^53 --> order: 53	poly: 42
0 1 0 1 0 1 
1 1 1 0 1 0 
0 1 1 1 0 1 
1 1 1 1 1 0 
0 1 1 1 1 1 
1 1 1 1 1 1 
A^54 --> order: 54	poly: 23
1 1 1 0 1 0 
0 1 1 1 0 1 
1 1 1 1 1 0 
0 1 1 1 1 1 
1 1 1 1 1 1 
1 0 1 1 1 1 
A^55 --> order: 55	poly: 46
0 1 1 1 0 1 
1 1 1 1 1 0 
0 1 1 1 1 1 
1 1 1 1 1 1 
1 0 1 1 1 1 
1 0 0 1 1 1 
A^56 --> order: 56	poly: 31
1 1 1 1 1 0 
0 1 1 1 1 1 
1 1 1 1 1 1 
1 0 1 1 1 1 
1 0 0 1 1 1 
1 0 0 0 1 1 
A^57 --> order: 57	poly: 62
0 1 1 1 1 1 
1 1 1 1 1 1 
1 0 1 1 1 1 
1 0 0 1 1 1 
1 0 0 0 1 1 
1 0 0 0 0 1 
A^58 --> order: 58	poly: 63
1 1 1 1 1 1 
1 0 1 1 1 1 
1 0 0 1 1 1 
1 0 0 0 1 1 
1 0 0 0 0 1 
1 0 0 0 0 0 
A^59 --> order: 59	poly: 61
1 0 1 1 1 1 
1 0 0 1 1 1 
1 0 0 0 1 1 
1 0 0 0 0 1 
1 0 0 0 0 0 
0 1 0 0 0 0 
A^60 --> order: 60	poly: 57
1 0 0 1 1 1 
1 0 0 0 1 1 
1 0 0 0 0 1 
1 0 0 0 0 0 
0 1 0 0 0 0 
0 0 1 0 0 0 
A^61 --> order: 61	poly: 49
1 0 0 0 1 1 
1 0 0 0 0 1 
1 0 0 0 0 0 
0 1 0 0 0 0 
0 0 1 0 0 0 
0 0 0 1 0 0 
A^62 --> order: 62	poly: 33
1 0 0 0 0 1 
1 0 0 0 0 0 
0 1 0 0 0 0 
0 0 1 0 0 0 
0 0 0 1 0 0 
0 0 0 0 1 0 
